"Company","Ticker","Sector","E","S","G","ESG","Status"
"ConocoPhillips","COP","Energy","17.29","9.71","7.87","34.86","Divest"
"Consolidated Edison","ED","Utilities","7.46","9.34","6.29","23.09","Divest"
"Constellation Brands","STZ","Consumer Staples","10.35","10.04","5.4","25.79","Divest"
"CooperCompanies","COO","Health Care","2.7","10.76","6.03","19.5","Invest"
"Copart","CPRT","Industrials","1.61","11.03","5.41","18.05","Invest"
"Corning Inc.","GLW","Information Technology","7.3","5.24","6.87","19.42","Divest"
"CoStar Group","CSGP","Real Estate","5.45","13.12","8.38","26.94","Divest"
"Costco","COST","Consumer Staples","7.26","11.21","5.72","24.19","Divest"
"Coterra","CTRA","Energy","24.13","13.11","8.78","46.02","Divest"
"Crown Castle","CCI","Real Estate","5.21","2.92","5.06","13.2","Divest"
"CSX","CSX","Industrials","7.45","9.19","3.44","20.09","Divest"
"Cummins","CMI","Industrials","5.8","7.5","6.06","19.36","Divest"
"CVS Health","CVS","Health Care","0.03","16.39","6.44","22.86","Invest"
"D.R. Horton","DHI","Consumer Discretionary","9.35","6.66","5.74","21.74","Divest"
"Danaher Corporation","DHR","Health Care","1.35","5.16","5.22","11.73","Invest"
"Darden Restaurants","DRI","Consumer Discretionary","8.43","15","4.57","27.99","Divest"
"DaVita Inc.","DVA","Health Care","0.07","14.08","8.42","22.56","Invest"
"John Deere","DE","Industrials","3.19","6.9","6.55","16.64","Invest"
"Delta Air Lines","DAL","Industrials","9.52","11.46","5.15","26.13","Divest"
"Dentsply Sirona","XRAY","Health Care","2.21","6.86","6.71","15.78","Invest"
"Devon Energy","DVN","Energy","20.71","8.15","7.83","36.69","Divest"
"Dexcom","DXCM","Health Care","5.39","10.24","8.08","23.7","Divest"
"Digital Realty","DLR","Real Estate","2.8","2.81","7","12.61","Invest"
"Discover Financial","DFS","Financials","0.13","11.87","10.58","22.57","Invest"
"Disney","DIS","Communication Services","0.06","7.92","6.9","14.88","Invest"
"Dollar General","DG","Consumer Staples","3.27","8.56","5.53","17.36","Invest"
"Dollar Tree","DLTR","Consumer Staples","3.4","7.41","4.06","14.87","Invest"
"Dominion Energy","D","Utilities","11.11","8.55","5.73","25.38","Divest"
"Domino's","DPZ","Consumer Discretionary","7.73","16.68","6.62","31.02","Divest"
"Dover Corporation","DOV","Industrials","7.12","12.38","5.77","25.27","Divest"
"DTE Energy","DTE","Utilities","15.28","10.04","4.77","30.09","Divest"
"Duke Energy","DUK","Utilities","14.49","8.57","4.56","27.63","Divest"
"DuPont","DD","Materials","13.44","8.12","7.39","28.95","Divest"
"DXC Technology","DXC","Information Technology","1.26","9.69","5.13","16.08","Invest"
"Eastman Chemical Company","EMN","Materials","11.98","5.42","7.2","24.6","Divest"
"Eaton Corporation","ETN","Industrials","5.37","6.76","5.72","17.85","Divest"
"eBay","EBAY","Consumer Discretionary","0.93","9.33","6.84","17.11","Invest"
"Ecolab","ECL","Materials","9.48","8.44","6.17","24.09","Divest"
"Edison International","EIX","Utilities","10.73","11.2","5.5","27.43","Divest"
"Edwards Lifesciences","EW","Health Care","2.86","8.85","7.63","19.33","Invest"
"Electronic Arts","EA","Communication Services","0.13","5.52","4.72","10.36","Invest"
