Company,Ticker,Sector,E,S,G,ESG,Status
Visa Inc.,V,Financials,0.71,7.84,7.52,16.07,Invest
Vulcan Materials Company,VMC,Materials,15.61,4.56,8.85,29.02,Invest
Wabtec,WAB,Industrials,4.52,11.69,7.04,23.25,Invest
Walgreens Boots Alliance,WBA,Consumer Staples,2.03,11.52,4.73,18.29,Invest
Walmart,WMT,Consumer Staples,4.4,13.92,6.31,24.63,Invest
Waste Management,WM,Industrials,8.22,5.24,3.28,16.73,Invest
Waters Corporation,WAT,Health Care,1.37,9.4,6.24,17.01,Invest
WEC Energy Group,WEC,Utilities,14.68,7.4,5.27,27.36,Invest
Wells Fargo,WFC,Financials,1.94,15.4,15.51,32.84,Invest
Welltower,WELL,Real Estate,3.87,3.22,4.92,12.01,Invest
Western Digital,WDC,Information Technology,1.48,3.91,6.05,11.43,Invest
WestRock,WRK,Materials,56.02,58.81,61.85,58.45,Invest
Weyerhaeuser,WY,Real Estate,10.48,3.29,3.78,17.56,Invest
Whirlpool Corporation,WHR,Consumer Discretionary,4.76,7.08,3.96,15.8,Invest
Williams Companies,WMB,Energy,9.98,10.43,3.08,23.5,Invest
Willis Towers Watson,WTW,Financials,0.13,8.68,9.79,18.61,Invest
W. W. Grainger,GWW,Industrials,3.41,5.48,5.72,14.6,Invest
Wynn Resorts,WYNN,Consumer Discretionary,3.55,11.98,10.96,26.49,Invest
Xcel Energy,XEL,Utilities,12.87,6.75,4.18,23.8,Invest
Xylem Inc.,XYL,Industrials,3.56,7.4,5.08,16.04,Invest
Yum! Brands,YUM,Consumer Discretionary,4.46,11.65,4.44,20.55,Invest
Zimmer Biomet,ZBH,Health Care,4.46,14.6,8.24,27.3,Invest
Zions Bancorporation,ZION,Financials,34.33,59.06,51.4,48.73,Invest
Zoetis,ZTS,Health Care,1.38,8.15,8.95,18.47,Invest
