Company,Ticker,Sector,E,S,G,ESG,Status
Global Payments,GPN,Financials,1.25,10.98,6.8,19.03,Invest
Goldman Sachs,GS,Financials,1.25,12.67,12.24,26.16,Invest
Halliburton,HAL,Energy,8.89,8.59,6.32,23.8,Invest
Hartford (The),HIG,Financials,1.5,5.99,8.67,16.17,Invest
Hasbro,HAS,Consumer Discretionary,0.04,2.88,4.2,7.11,Invest
HCA Healthcare,HCA,Health Care,3.5,17.34,7.4,28.24,Invest
Healthpeak,PEAK,Real Estate,3.01,2.22,4.49,9.73,Invest
Henry Schein,HSIC,Health Care,2.14,5.59,5.64,13.37,Invest
Hershey's,HSY,Consumer Staples,11.3,10.89,5.24,27.43,Invest
Hess Corporation,HES,Energy,22.11,7.2,6.75,36.05,Invest
Hewlett Packard Enterprise,HPE,Information Technology,0.76,4.92,6.25,11.94,Invest
Hilton Worldwide,HLT,Consumer Discretionary,7,6.77,3.67,17.44,Invest
Hologic,HOLX,Health Care,4.79,13.27,10.18,28.24,Invest
Home Depot (The),HD,Consumer Discretionary,3.4,5.51,3.63,12.54,Invest
Honeywell,HON,Industrials,10.58,10.19,8.54,29.31,Invest
Hormel Foods,HRL,Consumer Staples,13.23,10.68,6,29.91,Invest
Host Hotels & Resorts,HST,Real Estate,3.25,5.64,5.05,13.94,Invest
HP Inc.,HPQ,Information Technology,0.11,5,5.82,10.93,Invest
Humana,HUM,Health Care,0.01,16.43,5.94,22.37,Invest
Huntington Bancshares,HBAN,Financials,1.96,10.79,7.63,20.38,Invest
Huntington Ingalls Industries,HII,Industrials,47.02,46.57,51.34,45.74,Invest
IBM,IBM,Information Technology,0.47,6.67,7.64,14.77,Invest
IDEX Corporation,IEX,Industrials,8.1,13,5.72,26.82,Invest
Idexx Laboratories,IDXX,Health Care,3.3,7.1,9.05,19.45,Invest
Illinois Tool Works,ITW,Industrials,4.31,9.07,6.22,19.6,Invest
Illumina,ILMN,Health Care,0.98,3.72,6.21,10.9,Invest
Incyte,INCY,Health Care,1.45,15.55,7.11,24.12,Invest
Ingersoll Rand,IR,Industrials,3.64,11.22,5.83,20.68,Invest
Intel,INTC,Information Technology,4.36,5.94,6.96,17.26,Invest
Intercontinental Exchange,ICE,Financials,1.68,7.98,6.68,16.34,Invest
International Flavors & Fragrances,IFF,Materials,10.39,5.42,6.5,22.31,Invest
International Paper,IP,Materials,14.26,4.5,4.95,23.71,Invest
Interpublic Group of Companies (The),IPG,Communication Services,0.04,5.11,5.28,10.43,Invest
Intuit,INTU,Information Technology,0.97,10.52,4.7,16.2,Invest
Intuitive Surgical,ISRG,Health Care,4.37,9.78,9.6,23.74,Invest
Invesco,IVZ,Financials,0.7,9.87,9.76,20.33,Invest
IQVIA,IQV,Health Care,1.3,10.62,7.22,19.14,Invest
Iron Mountain,IRM,Real Estate,5,3.74,6,14.74,Invest
J.B. Hunt,JBHT,Industrials,3,6.01,4.86,13.86,Invest
Jack Henry & Associates,JKHY,Financials,0.78,9.45,5.22,15.45,Invest
Jacobs Solutions,J,Industrials,5.29,11.46,5.62,22.37,Invest
Johnson & Johnson,JNJ,Health Care,0.74,15.79,8.55,25.08,Invest
Johnson Controls,JCI,Industrials,4.89,4.55,5.25,14.7,Invest
JPMorgan Chase,JPM,Financials,1.11,16.18,11.73,29.02,Invest
Juniper Networks,JNPR,Information Technology,1.66,8.52,6.41,16.59,Invest
Kellogg's,K,Consumer Staples,7.4,14.87,4.58,26.84,Invest
KeyCorp,KEY,Financials,1.89,11.08,10.17,23.14,Invest
Keysight,KEYS,Information Technology,2.03,2.24,5.04,9.31,Invest
Kimberly-Clark,KMB,Consumer Staples,8.05,7.77,6.23,22.05,Invest
Kimco Realty,KIM,Real Estate,3.7,2.91,5.53,12.14,Invest
Kinder Morgan,KMI,Energy,7.75,7.32,3.48,18.55,Invest
KLA Corporation,KLAC,Information Technology,7.13,4.76,4.91,16.79,Invest
Kraft Heinz,KHC,Consumer Staples,14.38,14.29,6.63,35.3,Invest
Kroger,KR,Consumer Staples,6.51,9.43,5.46,21.39,Invest
LabCorp,LH,Health Care,0.13,11.55,7.13,18.81,Invest
Lam Research,LRCX,Information Technology,4.5,3.97,4.98,13.45,Invest
Las Vegas Sands,LVS,Consumer Discretionary,1.28,7.76,8.65,17.69,Invest
Leidos,LDOS,Industrials,1.29,4.99,5.39,11.67,Invest
Lennar,LEN,Consumer Discretionary,8.89,8.77,5.47,23.11,Invest
LKQ Corporation,LKQ,Consumer Discretionary,3.27,4,3.27,10.54,Invest
Lockheed Martin,LMT,Industrials,5.27,15.9,7.2,28.36,Invest
Loews Corporation,L,Financials,0.59,4.25,11.63,16.48,Invest
Lowe's,LOW,Consumer Discretionary,3.7,4.63,3.15,11.49,Invest
LyondellBasell,LYB,Materials,16.64,2.13,5.82,24.59,Invest
M&T Bank,MTB,Financials,2.2,12.77,11.19,26.16,Invest
Marathon Oil,MRO,Energy,23.91,10.14,7.96,42.01,Invest
Marathon Petroleum,MPC,Energy,15.91,7.01,5.79,28.7,Invest
Marriott International,MAR,Consumer Discretionary,8.75,9.05,4.09,21.89,Invest
Marsh McLennan,MMC,Financials,0.06,7.9,11.49,19.45,Invest
Martin Marietta Materials,MLM,Materials,18.55,4.53,8.74,31.82,Invest
Masco,MAS,Industrials,9.44,5.8,7.21,22.44,Invest
Mastercard,MA,Financials,0.32,8.1,8.57,16.98,Invest
McCormick & Company,MKC,Consumer Staples,10.07,11.3,5.21,26.58,Invest
McDonald's,MCD,Consumer Discretionary,4.18,14.3,6.32,24.79,Invest
McKesson,MCK,Health Care,2.29,7.37,5.52,15.17,Invest
